-10,0.54402111088937
-9.75,0.319519193622274
-9.5,0.075151120461809
-9.25,-0.173889485380434
-9,-0.412118485241757
-8.75,-0.624723953754192
-8.5,-0.79848711262349
-8.25,-0.92260421023934
-8,-0.989358246623382
-7.75,-0.994598779111176
-7.5,-0.937999976774739
-7.25,-0.823080879011505
-7,-0.656986598718789
-6.75,-0.450044073780618
-6.5,-0.215119988087815
-6.25,0.033179216547557
-6,0.279415498198926
-5.75,0.508279077499258
-5.5,0.705540325570392
-5.25,0.858934493426592
-5,0.958924274663139
-4.75,0.999292788975378
-4.5,0.977530117665097
-4.25,0.894989358228584
-4,0.756802495307928
-3.75,0.571561318742344
-3.5,0.35078322768962
-3.25,0.108195134530108
-3,-0.141120008059867
-2.75,-0.381660992052332
-2.5,-0.598472144103957
-2.25,-0.778073196887921
-2,-0.909297426825682
-1.75,-0.983985946873937
-1.5,-0.997494986604055
-1.25,-0.948984619355586
-1,-0.841470984807896
-0.75,-0.681638760023334
-0.5,-0.479425538604203
-0.25,-0.247403959254523
0,0
0.25,0.247403959254523
0.5,0.479425538604203
0.75,0.681638760023334
1,0.841470984807896
1.25,0.948984619355586
1.5,0.997494986604055
1.75,0.983985946873937
2,0.909297426825682
2.25,0.778073196887921
2.5,0.598472144103957
2.75,0.381660992052332
3,0.141120008059867
3.25,-0.108195134530108
3.5,-0.35078322768962
3.75,-0.571561318742344
4,-0.756802495307928
4.25,-0.894989358228584
4.5,-0.977530117665097
4.75,-0.999292788975378
5,-0.958924274663139
5.25,-0.858934493426592
5.5,-0.705540325570392
5.75,-0.508279077499258
6,-0.279415498198926
6.25,-0.033179216547557
6.5,0.215119988087815
6.75,0.450044073780618
7,0.656986598718789
7.25,0.823080879011505
7.5,0.937999976774739
7.75,0.994598779111176
8,0.989358246623382
8.25,0.92260421023934
8.5,0.79848711262349
8.75,0.624723953754192
9,0.412118485241757
9.25,0.173889485380434
9.5,-0.075151120461809
9.75,-0.319519193622274
10,-0.54402111088937
